Category,Drop source,Task,Hours to Droprate (for 1 player),divisor,coins,Coinvalue,
Skilling Minigames,Guardians of the rift,Abyssal lantern,28,4,7,10
Skilling Minigames,Guardians of the rift,Green dye,48,4,12,15
Skilling Minigames,Guardians of the rift,Blue dye,48,4,12,15
Skilling Minigames,Guardians of the rift,Red dye,48,4,12,15
Skilling Minigames,Guardians of the rift,Abyssal protector,160,1,160,160
Skilling Minigames,Wintertodt,4 Pyromancer pieces,12,2,6,10
Skilling Minigames,Wintertodt,Tome of fire,20,2,10,10
Skilling Minigames,Wintertodt,Phoenix,100,1,100,100
Skilling Minigames,Wintertodt,Dragon axe(Wintertodt),200,1,200,200
Skilling Minigames,Tempoross,Big harpoonfish,32,2,16,20
Skilling Minigames,Tempoross,Tome of water,32,2,16,20
Skilling Minigames,Tempoross,Tiny tempor,160,1,160,160
Skilling Minigames,Tempoross,Dragon harpoon(Tempoross),160,1,160,160
Skilling Minigames,Agility sepulchre,Strange old lockpick,8,1,8,10
Skilling Minigames,Agility sepulchre,Ring of endurance,30,1,30,30
Skilling Minigames,Zalcano,Crystal tool seed,50,2,25,25
Skilling Minigames,Zalcano,Zalcano shard,60,2,30,30
Skilling Minigames,Zalcano,Smolcano,110,1,110,110
Skilling Minigames,Volcanic Mine,Dragon Pickaxe(broken),25,1,25,25
Raids,Chambers of Xeric,Arcane prayer scroll,55,3.5,16,20
Raids,Chambers of Xeric,Dexterous prayer scroll,55,3.5,16,20
Raids,Chambers of Xeric,Twister buckler,270,3.5,77,80
Raids,Chambers of Xeric,Dragon hunter crossbow,270,3.5,77,80
Raids,Chambers of Xeric,Dinh's bulwark,363,3.5,104,105
Raids,Chambers of Xeric,Dragon claws,363,3.5,104,105
Raids,Chambers of Xeric,Ancestral hat,363,3.5,104,105
Raids,Chambers of Xeric,Ancestral robe top,363,3.5,104,105
Raids,Chambers of Xeric,Ancestral robe bottom,363,3.5,104,105
Raids,Chambers of Xeric,Elder maul,544,3.5,155,155
Raids,Chambers of Xeric,Kodai insignia,544,3.5,155,155
Raids,Chambers of Xeric,Twisted bow,544,3.5,155,155
Raids,Chambers of Xeric,Olmlet,836,3.5,239,240
Raids,Theatre of Blood,Avernic defender hilt,43,2,22,25
Raids,Theatre of Blood,Ghrazi rapier,172,2,86,90
Raids,Theatre of Blood,Sanguinesti staff,172,2,86,90
Raids,Theatre of Blood,Justiciar faceguard,172,2,86,90
Raids,Theatre of Blood,Justiciar chestguard,172,2,86,90
Raids,Theatre of Blood,Justiciar legguards,172,2,86,90
Raids,Theatre of Blood,Scythe of vitur,344,2,172,175
Raids,Theatre of Blood,Lil'zik,325,1,325,325
Raids,Tombs of Amascut,Osmumten's fang,39,2,20,20
Raids,Tombs of Amascut,Lightbearer,39,2,20,20
Raids,Tombs of Amascut,Elidinis' ward,90,2,45,45
Raids,Tombs of Amascut,Masori mask,135,2,68,70
Raids,Tombs of Amascut,Masori body,135,2,68,70
Raids,Tombs of Amascut,Masory chaps,135,2,68,70
Raids,Tombs of Amascut,Tumeken's shadow,270,2,135,135
Raids,Tombs of Amascut,Tumeken's guardian,500,1,500,500
Slayer bosses,Grotesque Guardians,Granite hammer,19,2,10,10
Slayer bosses,Grotesque Guardians,Black tournaline core,25,2,13,15
Slayer bosses,Grotesque Guardians,Noon,150,1,150,150
Slayer bosses,Grotesque Guardians,Jar of stone,250,1,250,250
Slayer bosses,Abyssal Sire,Abyssal dagger,25,5,5,5
